0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,10-p utility,10-p reliability
10,10,8,3,2,2,5,2,2,3,1,2,6,3,2,2,0,4,7,4,2,2,3,1,5,2,6,1,5,5,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,9,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,9,10,10,10,10,8,10,10,10,10,10,8,8,8,9,9,10,10,9,7,7,7,7,9,10,10,10,9,7,10,10,7,9,9,10,0.8250353133361572,0.32121212121212134
10,9,9,3,3,2,2,2,3,0,4,2,6,5,0,10,4,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,9,10,10,8,10,10,10,10,10,10,10,10,10,9,10,10,9,10,9,10,10,9,9,9,10,10,10,8,10,10,9,10,10,9,9,8,10,7,9,10,8,7,7,7,7,9,10,10,10,9,7,9,10,7,8,9,9,1.0167567473330068,0.19090909090909094
10,10,7,6,1,2,1,3,2,5,1,2,5,3,3,0,0,1,6,5,1,5,2,1,2,4,2,5,1,2,5,1,1,5,3,4,1,3,1,3,3,2,6,2,2,3,6,0,3,0,5,0,2,3,2,2,3,0,6,10,7,2,2,10,7,10,9,10,10,8,10,10,9,10,10,10,8,8,8,9,10,10,10,7,10,7,8,9,10,8,9,10,7,9,10,7,10,7,9,0.5402269054311473,0.6535353535353531
10,10,7,7,1,2,1,3,2,4,1,2,5,3,3,1,0,1,6,2,1,4,2,5,2,4,3,2,1,2,5,1,1,5,3,4,0,4,1,2,5,1,6,0,2,3,6,1,2,3,6,0,2,3,6,4,2,8,6,10,7,10,10,10,9,10,9,10,10,8,10,10,9,10,10,10,8,8,9,8,10,8,10,7,9,7,8,9,10,9,10,10,8,9,10,8,9,7,10,0.5638681543098728,0.6111111111111109
10,10,7,7,1,2,3,3,2,5,1,0,5,0,3,4,3,1,6,2,1,4,2,1,3,4,1,2,2,2,5,0,1,2,4,2,2,4,2,2,5,0,6,3,2,3,6,2,3,0,3,5,2,5,5,0,10,10,9,10,9,10,10,10,9,10,9,10,10,8,10,10,10,10,10,10,9,8,9,9,10,9,10,7,9,7,7,9,10,9,10,10,8,9,9,8,9,7,10,0.5770510463875551,0.5929292929292928
10,10,6,6,1,2,4,3,2,4,1,2,5,3,2,2,3,0,6,2,2,4,1,1,4,3,2,2,1,3,5,0,2,2,3,2,6,2,5,3,5,0,2,2,9,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,9,10,9,10,10,8,10,10,10,10,10,10,8,9,9,9,10,10,10,7,9,7,7,10,10,8,10,9,9,10,10,8,10,7,10,0.6561733438590767,0.4828282828282831
10,9,9,3,2,2,2,3,2,3,2,3,5,5,0,5,2,5,8,10,10,10,10,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,9,10,9,10,10,10,10,10,10,10,10,9,10,10,9,10,10,9,9,8,10,7,9,10,7,7,7,7,7,9,10,10,10,9,7,9,10,7,9,9,9,0.9840325151257603,0.21111111111111117
10,10,7,7,1,2,1,3,2,4,1,2,5,3,3,1,0,2,6,3,1,5,2,1,2,4,1,2,3,2,5,1,2,5,3,4,3,3,1,2,3,0,6,1,2,4,6,0,3,1,5,0,2,2,2,2,6,1,0,3,7,2,4,10,1,5,9,4,10,8,10,10,10,10,10,10,8,8,9,9,10,9,10,7,9,7,7,9,10,9,10,10,8,10,9,7,10,7,9,0.5227358366094006,0.6909090909090904
10,10,6,7,1,2,3,3,2,4,1,3,4,3,1,1,2,0,7,2,2,4,1,1,5,5,2,1,1,6,5,0,5,4,10,9,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,10,10,10,8,10,10,10,9,10,9,10,10,8,10,10,10,10,10,10,8,8,9,9,10,10,9,8,8,7,7,10,10,7,10,8,7,10,10,8,9,6,10,0.7634942771606481,0.3717171717171719
10,9,9,3,7,5,9,5,10,7,7,10,10,7,10,10,10,10,10,10,10,10,10,7,10,9,10,10,10,10,10,9,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,8,10,9,9,10,9,10,9,10,10,10,8,10,10,8,10,10,9,8,8,10,7,10,10,7,7,7,7,7,9,10,10,10,8,7,9,10,7,7,9,9,1.205074242743211,0.08080808080808081
