0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,avg utility,avg reliability
10,10,10,5,2,3,4,2,6,5,3,6,1,5,6,2,6,5,4,6,2,4,6,3,4,4,6,5,3,5,1,6,5,1,5,6,5,2,7,2,5,5,3,4,6,4,5,4,1,6,5,6,5,3,5,4,7,4,4,5,7,2,5,1,5,7,6,5,6,2,8,8,6,3,6,6,3,7,7,7,5,5,6,5,10,6,2,9,9,7,6,10,9,10,8,10,10,10,10,0.891326521310516,0.7220202020202008
10,10,10,6,2,2,5,3,5,5,5,6,1,5,6,3,6,4,4,5,2,5,6,3,4,5,6,5,3,5,1,6,5,6,5,6,5,2,7,5,6,6,3,7,6,4,5,5,6,6,5,6,4,4,9,3,7,4,7,5,7,6,5,7,6,6,6,5,6,3,7,7,6,3,9,6,5,7,7,6,5,6,6,6,5,5,5,9,6,7,7,10,10,10,9,10,10,10,10,0.9607613313838931,0.6507070707070699
10,10,10,6,5,3,6,2,5,5,5,6,6,5,6,3,6,5,5,9,2,6,10,4,4,6,6,5,7,5,6,6,5,5,5,6,6,4,7,5,7,6,4,7,7,4,5,5,6,6,6,6,5,4,9,3,7,7,7,5,6,5,5,4,5,9,6,5,5,3,7,9,6,2,9,6,5,7,7,6,5,6,6,6,6,5,5,10,9,7,6,10,10,10,9,10,10,10,10,1.0615006062389012,0.5620202020202012
10,10,10,9,5,2,9,3,10,5,5,6,6,5,9,4,6,4,6,9,2,6,9,4,5,7,5,5,7,5,6,9,4,5,7,5,7,3,7,5,7,7,3,7,7,5,5,5,6,6,7,6,5,5,9,4,5,7,7,5,5,9,5,6,5,6,6,5,10,3,8,9,5,6,9,9,5,6,7,7,9,9,5,10,9,10,10,9,10,9,10,10,10,10,10,10,10,10,10,1.1614653034779037,0.46404040404040353
10,10,10,5,2,3,5,3,6,3,4,6,1,5,6,2,6,4,4,5,1,4,6,3,4,5,6,5,3,5,1,6,5,3,5,5,4,3,7,5,6,4,0,4,6,4,5,4,3,6,5,7,4,4,5,4,7,4,7,4,6,1,5,5,5,6,7,5,6,3,6,7,7,2,9,6,4,7,7,6,5,5,6,6,9,7,5,6,6,6,9,10,9,10,9,10,10,10,10,0.902778669419754,0.7101010101010091
10,10,10,9,2,2,8,2,6,3,5,6,6,2,9,4,5,5,6,9,2,5,9,3,6,7,6,6,7,6,6,8,6,5,6,5,7,0,10,5,7,6,6,7,7,2,6,5,9,6,7,9,10,7,10,5,6,8,7,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.2305725118022293,0.401212121212121
10,10,10,5,5,1,6,3,5,5,4,7,1,5,6,3,6,5,4,5,2,5,6,3,4,5,6,5,4,6,6,7,5,5,5,5,5,5,7,2,5,5,4,7,9,4,5,5,6,6,6,6,5,4,10,4,7,4,7,5,5,5,5,7,5,6,7,5,6,3,7,8,5,5,9,6,2,7,7,6,5,5,6,5,5,7,5,9,9,7,7,10,9,10,9,10,10,10,10,0.9905819104432355,0.6230303030303022
10,10,10,6,2,3,4,2,6,5,4,6,1,5,6,2,5,4,5,5,2,4,6,2,4,5,6,5,3,5,1,7,2,6,2,5,5,3,6,2,6,5,0,7,5,4,5,5,1,6,5,6,4,3,5,4,7,4,4,4,5,3,5,1,6,6,7,5,6,3,4,7,6,2,9,6,3,6,7,6,5,5,5,4,6,7,5,9,6,6,7,10,9,10,8,10,10,10,10,0.8812316127139406,0.7333333333333322
10,10,10,9,5,2,9,4,10,2,5,7,6,5,9,4,6,5,6,9,2,5,9,4,6,6,4,5,7,6,6,9,5,5,5,5,7,5,7,5,7,7,3,7,7,5,6,5,6,9,7,6,5,3,9,2,7,7,7,5,10,6,5,6,6,7,6,10,10,6,8,8,6,6,9,9,10,9,9,7,10,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,9,10,1.1927298074788255,0.43030303030302997
10,10,10,5,2,3,4,1,6,4,4,6,2,4,6,5,2,4,3,6,2,4,5,3,4,4,6,5,3,5,1,6,2,6,2,5,5,3,6,2,5,4,0,6,6,3,5,2,1,4,5,6,5,1,4,4,7,4,4,4,4,2,5,2,6,6,6,5,0,3,5,4,6,2,6,6,2,6,6,6,5,8,1,4,6,7,3,7,7,6,6,10,9,10,7,10,10,10,10,0.8267688800935357,0.7907070707070694
10,10,10,9,1,2,8,2,6,2,5,6,6,2,6,4,6,5,6,9,3,5,9,4,6,6,6,6,4,5,6,8,6,5,7,5,8,0,10,5,7,7,4,7,7,1,9,10,5,3,7,9,5,7,10,5,5,7,7,10,10,10,10,9,10,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.201422072666564,0.4226262626262624
10,10,10,9,5,2,9,3,10,2,5,7,6,5,9,4,6,5,6,9,2,6,9,4,6,6,5,5,7,6,6,9,4,5,6,5,7,5,7,5,8,7,3,7,7,4,6,5,6,9,7,6,5,3,9,5,4,7,7,5,5,6,5,6,5,6,9,10,10,5,8,7,7,5,9,9,5,9,9,7,10,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,1.1830039732544153,0.44020202020201976
10,10,6,4,3,4,4,2,2,3,3,6,2,0,7,2,2,4,4,4,3,4,5,3,4,4,2,5,3,6,1,7,2,5,3,5,2,2,6,2,3,5,0,6,2,3,6,7,1,6,5,5,7,0,2,3,7,3,3,4,5,2,6,3,6,6,6,5,3,3,3,7,5,2,1,2,2,6,7,6,2,5,1,7,6,7,4,6,1,6,5,9,9,5,7,10,10,9,10,0.7502288554532841,0.8402020202020186
10,10,10,9,2,2,8,2,6,2,5,6,6,5,6,4,6,5,6,9,2,5,9,4,6,6,6,6,7,5,6,8,6,5,7,5,7,0,9,5,7,4,8,8,7,2,9,10,5,5,6,9,5,4,10,10,5,6,7,5,10,10,10,9,10,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.2161847349501065,0.4129292929292928
10,10,10,5,3,3,4,2,6,2,3,6,1,2,6,2,6,4,4,6,2,4,6,3,4,4,5,5,3,5,1,6,5,2,2,5,5,4,6,3,4,4,0,6,5,4,5,4,1,6,5,5,5,2,2,2,7,4,4,3,6,2,5,3,5,6,7,5,3,3,3,4,6,0,6,6,0,6,7,6,5,1,2,7,6,7,2,9,1,7,6,10,10,5,7,10,10,10,10,0.8129827699753401,0.8012121212121198
10,10,10,9,5,2,8,3,10,5,5,5,6,5,9,4,6,5,6,9,3,5,9,4,5,6,5,5,7,5,7,6,5,6,5,5,7,4,7,5,7,7,4,7,7,5,5,5,6,6,6,6,10,4,9,3,7,7,7,5,6,6,5,4,5,6,6,5,5,4,8,6,7,6,9,6,10,6,8,6,5,6,10,5,9,6,10,9,10,9,10,10,10,10,10,10,10,10,10,1.1426023198404767,0.48606060606060536
10,10,10,6,2,1,6,3,5,4,5,7,1,5,6,3,6,4,4,6,2,5,6,3,4,4,6,5,3,6,6,6,2,6,2,5,5,5,7,5,6,6,5,7,6,4,5,4,7,6,6,7,5,4,9,3,7,4,7,5,6,5,5,7,5,9,6,5,6,4,7,7,6,1,9,6,5,7,7,6,5,5,7,6,5,6,5,6,6,7,8,10,9,9,9,10,10,10,10,0.9700415813100862,0.6410101010101004
10,10,10,9,2,2,8,2,6,3,5,6,6,2,9,4,5,5,9,9,2,5,9,4,6,7,6,6,7,5,6,8,5,5,7,5,7,3,10,5,7,6,6,7,7,5,9,9,10,5,4,9,10,7,10,10,10,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.271674070466557,0.37171717171717167
10,10,10,5,2,3,4,1,6,4,4,7,2,4,6,3,2,4,4,5,2,5,6,3,4,4,5,5,3,5,1,6,5,6,2,5,5,3,6,2,5,4,1,7,1,3,5,2,0,4,5,6,4,6,3,4,7,4,4,4,6,2,5,3,6,6,6,5,0,3,5,4,6,2,6,6,1,6,7,6,5,4,1,4,5,7,3,6,8,9,6,10,10,10,8,10,10,10,10,0.8341246306909126,0.7826262626262612
